"Coluna1"," Coluna2"," Coluna3"," Coluna4"," Coluna5"," Coluna6"," Coluna 7"," Coluna8"," Coluna9"," Coluna 10"," Coluna11"," Coluna 12"," Coluna 13"," Coluna 14"," Coluna 15"," Coluna 16"," Coluna 17"," Coluna 18"," Coluna 19"," Coluna20"," Coluna21"," Coluna22"," Coluna23"," Coluna24"," Coluna25"," Coluna26"," Coluna 27"," Coluna 28"," Coluna 29"," Coluna30"," Coluna31"," Coluna32"
" fruta tropical"," outros vegetais"," Requeijão cremoso"," fermento em pó"," produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," salsicha"," salsicha orgânica"," pão branco"," pão integral"," waffles"," chocolate","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," coalhada"," iogurte"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," coalhada"," óleo"," Margarina","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," bagas"," vegetais de raiz"," manteiga"," Leite UHT"," água engarrafada","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," vegetais de raiz","refrigerante"," suco de frutas/vegetais"," detergente"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","",""
" suco de frutas/vegetais"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," salsicha"," fruta tropical"," vegetais de raiz"," leite inteiro"," pastelaria","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," citrino"," vegetais de raiz"," leite inteiro"," água engarrafada"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," leite inteiro"," pastelaria"," farinha"," legumes em conserva","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," Requeijão cremoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," leite inteiro"," barrar queijo"," maionese"," pãezinhos/pãezinhos"," pastelaria"," legumes em conserva"," água engarrafada"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" iogurte"," sobremesa congelada"," pãezinhos/pãezinhos"," pastelaria","refrigerante"," suco de frutas/vegetais"," guardanapos","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," leite inteiro"," pastelaria"," açúcar"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," vegetais de raiz"," leite inteiro"," iogurte"," chantilly/creme de leite"," pãezinhos/pãezinhos"," Margarina"," açúcar"," Produtos alimentares instantâneos"," água engarrafada","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," Margarina"," água engarrafada"," rum"," vinho tinto/blush"," produto de panificação longa vida"," waffles"," chocolate","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," leite inteiro"," diversos. bebidas"," vinho tinto/blush","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," pastelaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," água engarrafada"," cerveja engarrafada"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pastelaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," açúcar"," comida de gato","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," vegetais de raiz"," leite inteiro"," chantilly/creme de leite"," pãezinhos/pãezinhos"," mostarda","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," carne bovina"," outros vegetais"," Requeijão cremoso"," ovos domésticos"," fermento em pó"," lanche salgado"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","",""
" pastelaria"," café"," goma de mascar","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," carne de porco"," queijo duro"," pãezinhos/pãezinhos"," legumes em conserva"," limpador de louça","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," carne de porco"," vinho branco","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," outros vegetais"," Requeijão cremoso"," chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Refeições congeladas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," água engarrafada"," cerveja em lata"," goma de mascar"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," carne de hambúrguer"," ervas"," sobremesa"," bebidas"," óleo","refrigerante"," limpador de louça","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," iogurte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," pãezinhos/pãezinhos"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," carne de porco"," pão integral"," produtos de batata","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," carne de hambúrguer"," fruta pipa"," bagas"," outros vegetais"," pãezinhos/pãezinhos"," pão semiacabado"," fermento em pó"," vinho branco"," guardanapos"," filme plástico/sacos","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," bagas"," pãezinhos/pãezinhos"," goma de mascar"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," presunto"," fruta tropical"," leite inteiro"," manteiga"," Queijo processado"," pãezinhos/pãezinhos"," produtos de batata"," arroz"," Margarina"," cereais"," comida de gato"," suco de frutas/vegetais"," cerveja engarrafada"," chocolate"," guardanapos","","","","","","","","","","","","","","","",""
" doce","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," outros vegetais"," sobremesa"," iogurte"," Leite UHT"," Requeijão cremoso"," vegetais congelados"," pãezinhos/pãezinhos"," pão integral"," pastelaria"," barra de especialidades","","","","","","","","","","","","","","","","","","","","",""
" citrino"," sobremesa"," iogurte"," Leite UHT"," vegetais congelados"," peixe congelado"," zwieback"," especiarias"," waffles","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," presunto"," queijo fatiado"," peixe congelado"," pãezinhos/pãezinhos"," Margarina"," mostarda","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," iogurte"," sorvete"," pão integral"," pastelaria","refrigerante"," jornais","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," leite inteiro"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," pãezinhos/pãezinhos"," cuidados com a pele"," pratos"," Sementes de flores)","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" detergente"," foto/filme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," fruta tropical"," fruta pipa"," vegetais de raiz"," frutas/legumes embalados"," sobremesa"," iogurte"," Leite UHT"," queijo duro"," maionese"," ovos domésticos"," especiarias"," vegetais enlatados"," suco de frutas/vegetais"," doce","","","","","","","","","","","","","","","","",""
" carne bovina"," vegetais de raiz"," ervas"," outros vegetais"," leite inteiro"," manteiga"," pãezinhos/pãezinhos"," pão integral"," cerveja engarrafada"," produto de panificação longa vida"," vasos de plantas","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," frutas/legumes embalados"," pão integral"," pastelaria"," lâmpadas"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" suco de frutas/vegetais"," waffles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" diversos. bebidas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," bagas"," leite inteiro"," manteiga"," Soro de leite coalhado"," pão integral","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," pastelaria"," Margarina","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
